,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
25959,212099291, 134.264504, 22.007449, 10.129, GO16052_LC
13434,211664150, 133.929439, 15.429491, 10.129, GO16052_LC
12422,211635801, 138.358517, 15.038973, 10.13, GO16052_LC
24670,212059098, 133.413473, 21.259102, 10.131, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
13574,211668707, 136.322508, 15.490607, 10.132, GO16052_LC
28306,212191634, 133.759513, 24.046595, 10.132, GO16009_LC|GO16021_LC|GO16028_LC
24941,212069855, 133.949346, 21.453295, 10.133, GO16009_LC|GO16021_LC|GO16028_LC
21708,211944013, 136.088577, 19.384203, 10.134, GO16052_LC
19714,211888892, 137.823144, 18.563758, 10.136, GO16021_LC|GO16028_LC
21531,211939206, 129.968081, 19.312641, 10.137, GO16021_LC|GO16022_LC|GO16031_LC|GO16060_LC
34364,251395542, 135.895962, 24.514546, 10.138, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
23438,212023491, 133.431773, 20.644483, 10.139, GO16052_LC
7856,211455562, 135.731189, 12.484707, 10.141, GO16052_LC
32581,251343966, 141.143171, 20.570527, 10.143, GO16021_LC|GO16028_LC
13817,211677155, 135.753464, 15.606081, 10.144, GO16052_LC
29179,212216998, 132.757847, 24.838376, 10.145, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
26813,212126379, 127.362451, 22.544965, 10.146, GO16052_LC
7512,211445660, 132.317533, 12.334095, 10.152, GO16009_LC|GO16021_LC|GO16028_LC
27149,212159915, 130.453377, 23.251705, 10.154, GO16052_LC
8684,211489528, 133.89182, 12.988444, 10.155, GO16052_LC
18929,211863321, 134.149467, 18.202842, 10.156, GO16009_LC
25489,212085290, 134.628166, 21.739257, 10.156, GO16020_LC|GO16028_LC|GO16052_LC
29153,212216353, 130.037921, 24.816404, 10.159, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
25949,212098979, 133.131181, 22.001813, 10.16, GO16009_LC|GO16021_LC|GO16028_LC
22137,211955553, 134.274986, 19.558528, 10.16, GO16021_LC
30697,251291112, 140.18923, 15.654006, 10.161, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
16826,211803627, 134.801023, 17.367711, 10.161, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
32213,251336808, 140.768974, 19.991428, 10.163, GO16004_LC|GO16052_LC
15644,211735933, 131.109587, 16.409129, 10.165, GO16021_LC|GO16028_LC
34348,251395219, 136.94849, 24.496487, 10.166, GO16052_LC
7815,211454269, 136.712467, 12.464679, 10.167, GO16004_LC|GO16052_LC
31376,251310107, 139.230168, 17.63384, 10.167, GO16052_LC
26195,212106577, 134.031856, 22.150484, 10.17, GO16009_LC|GO16021_LC|GO16028_LC
15741,211738518, 135.622605, 16.445604, 10.172, GO16001_LC|GO16021_LC|GO16033_LC
24153,212043559, 135.816211, 20.986714, 10.172, GO16009_LC|GO16021_LC|GO16028_LC
32117,251330161, 139.416657, 19.398466, 10.172, GO16052_LC
21006,211925925, 133.313534, 19.112514, 10.173, GO16021_LC|GO16028_LC
31643,251317631, 139.334467, 18.313479, 10.173, GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16083_LC
24050,212040898, 126.819516, 20.941149, 10.173, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
5915,211405419, 135.908363, 11.723978, 10.175, GO16021_LC|GO16028_LC
34412,251396857, 137.734924, 24.597774, 10.176, GO16009_LC|GO16021_LC|GO16083_LC
19951,211896984, 137.028153, 18.682709, 10.182, GO16009_LC|GO16021_LC|GO16028_LC
23607,212028066, 135.002515, 20.721931, 10.185, GO16021_LC
31512,251313938, 139.831662, 17.988845, 10.186, GO16052_LC
22836,212005458, 128.019689, 20.345893, 10.187, GO16004_LC|GO16009_LC|GO16021_LC|GO16028_LC
27925,212181827, 133.823085, 23.784636, 10.188, GO16052_LC
23698,212030950, 137.874438, 20.770749, 10.188, GO16052_LC
18861,211861413, 129.795689, 18.17599, 10.191, GO16009_LC|GO16021_LC|GO16022_LC|GO16028_LC|GO16031_LC|GO16060_LC|GO16083_LC
13313,211661092, 130.129092, 15.386454, 10.191, GO16052_LC
21953,211950230, 138.005363, 19.475834, 10.192, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
34449,251397560, 136.870816, 24.639417, 10.197, GO16009_LC|GO16020_LC|GO16021_LC
7725,211451961, 136.065917, 12.429937, 10.2, GO16004_LC|GO16020_LC|GO16052_LC
32517,251342314, 138.889504, 20.441529, 10.201, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
6225,211413023, 135.783728, 11.836837, 10.201, GO16009_LC|GO16021_LC|GO16028_LC
16164,211750894, 138.786684, 16.620864, 10.204, GO16021_LC|GO16028_LC
5955,211406540, 133.077388, 11.74066, 10.204, GO16031_LC|GO16052_LC|GO16064_LC
34675,251402059, 136.595756, 24.907265, 10.206, GO16052_LC
20567,211914096, 138.578714, 18.935747, 10.207, GO16052_LC
6999,211432321, 131.227426, 12.130137, 10.207, GO16005_LC|GO16020_LC|GO16052_LC|GO16903_LC|GO16903_SC
20491,211912296, 134.131846, 18.909907, 10.209, GO16009_LC|GO16021_LC|GO16028_LC
14423,211698406, 133.729734, 15.894004, 10.209, GO16021_LC|GO16028_LC
21966,211950703, 130.218848, 19.48322, 10.209, GO16010_LC|GO16021_LC|GO16022_LC|GO16031_LC|GO16060_LC|GO16065_LC
25885,212096658, 126.753739, 21.956861, 10.21, GO16011_LC|GO16020_LC|GO16052_LC|GO16063_LC|GO16065_LC
14379,211697144, 136.670839, 15.877065, 10.212, GO16009_LC|GO16021_LC|GO16028_LC
27949,212182509, 132.026504, 23.804007, 10.214, GO16004_LC|GO16052_LC
11410,211604587, 131.042941, 14.601346, 10.215, GO16052_LC
17601,211825967, 137.473716, 17.685443, 10.215, GO16033_LC
15664,211736498, 136.130508, 16.41691, 10.217, GO16005_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16063_LC|GO16083_LC
